Day,Period,optionPremium,TWTR,Strike,Time,IVlagged,rf,d1,d2,Normal Distribution of D1,Normal Distribution of D2,Black-Scholes
2015-07-14,09:30:30,1.1,35.867,35,0.0158628409,0.4453951502,0.01,0.4670811467,0.4109846206,0.6797790888,0.6594580941,1.3042643044
2015-07-14,09:31:00,0.51,35.866,36,0.0158577534,0.4004104939,0.01,-0.0456017432,-0.0960244645,0.4818138399,0.4617505713,0.6603504442
2015-07-14,09:32:00,0.481,35.854,36,0.0158475783,0.4024355769,0.01,-0.051755963,-0.1024174369,0.4793615725,0.4592126719,0.6579932907
2015-07-14,09:32:00,0.34,35.854,36.5,0.0158475783,0.4024355769,0.01,-0.3240204879,-0.3746819619,0.3729612616,0.3539485045,0.4550798649
2015-07-14,09:32:00,0.22,35.854,37,0.0158475783,0.4024355769,0.01,-0.5925806185,-0.6432420925,0.2767309265,0.2600335122,0.3021953001
2015-07-14,09:32:30,0.34,35.847,36.5,0.0158424908,0.4162809159,0.01,-0.3153156593,-0.3677116714,0.3762609983,0.3565441184,0.4760292393
2015-07-14,09:32:30,0.04,35.847,41.5,0.0158424908,0.4162809159,0.01,-2.7655243967,-2.8179204088,0.0028415677,0.0024167895,0.0015808011
2015-07-14,09:33:00,0.34,35.91,36.5,0.0158374033,0.613141848,0.01,-0.1705647141,-0.2477266201,0.4322830227,0.4021729669,0.84629469
2015-07-14,09:33:00,0.249,35.91,37,0.0158374033,0.613141848,0.01,-0.3468907375,-0.4240526436,0.3643367027,0.3357637106,0.6620410705
2015-07-14,09:33:00,0.04,35.91,41.5,0.0158374033,0.613141848,0.01,-1.8343541823,-1.9115160884,0.0333007181,0.0279691456,0.0352930547
2015-07-14,09:33:30,1.2,35.997,35,0.0158323158,0.5512323419,0.01,0.4419174931,0.3725578399,0.6707255442,0.6452612219,1.5635399568
2015-07-14,09:33:30,0.55,35.997,36,0.0158323158,0.5512323419,0.01,0.0357609501,-0.0335987031,0.5142635148,0.4865985782,0.9971681393
2015-07-14,09:33:30,0.26,35.997,37,0.0158323158,0.5512323419,0.01,-0.3592666044,-0.4286262576,0.3596978274,0.3340976168,0.5883878429
2015-07-14,09:33:30,0.18,35.997,37.5,0.0158323158,0.5512323419,0.01,-0.5527943934,-0.6221540466,0.290202104,0.2669202897,0.4384788872
2015-07-14,09:34:00,0.6,36.062,36,0.0158272283,0.4246630641,0.01,0.0618835003,0.0084582061,0.5246721964,0.5033742958,0.8021219995
2015-07-14,09:34:00,0.4,36.062,36.5,0.0158272283,0.4246630641,0.01,-0.196296119,-0.2497214133,0.4221891994,0.4014013987,0.5761545462
2015-07-14,09:34:00,0.27,36.062,37,0.0158272283,0.4246630641,0.01,-0.4509629813,-0.5043882756,0.3260081148,0.3069942777,0.3995140013
2015-07-14,09:34:00,0.14,36.062,38,0.0158272283,0.4246630641,0.01,-0.9501319135,-1.0035572078,0.1710226146,0.1577960447,0.1721167935
2015-07-14,09:34:30,2.71,36.173,33.5,0.0158221408,0.436182543,0.01,1.4295068325,1.3746411353,0.9235706937,0.9153786355,2.7479899203
2015-07-14,09:34:30,1.306,36.173,35,0.0158221408,0.436182543,0.01,0.6311460201,0.5762803228,0.7360274735,0.7177871396,1.5057465235
2015-07-14,09:34:30,0.66,36.173,36,0.0158221408,0.436182543,0.01,0.1176944763,0.0628287791,0.5468451282,0.5250485756,0.8822705247
2015-07-14,09:34:30,0.451,36.173,36.5,0.0158221408,0.436182543,0.01,-0.1337070881,-0.1885727854,0.4468171,0.4252138321,0.6448655366
2015-07-14,09:34:30,0.29,36.173,37,0.0158221408,0.436182543,0.01,-0.3816881169,-0.4365538142,0.3513463577,0.3312174819,0.4561438213
