Web Search interest: etf; mutual fund
Worldwide; 2004 - present

Interest over time
Week,etf,mutual fund
2004-01-04 - 2004-01-10,19,90
2004-01-11 - 2004-01-17,29,96
2004-01-18 - 2004-01-24,21,100
2004-01-25 - 2004-01-31,20,75
2004-02-01 - 2004-02-07,24,78
2004-02-08 - 2004-02-14,24,81
2004-02-15 - 2004-02-21,24,82
2004-02-22 - 2004-02-28,18,75
2004-02-29 - 2004-03-06,26,72
2004-03-07 - 2004-03-13,19,62
2004-03-14 - 2004-03-20,24,70
2004-03-21 - 2004-03-27,13,60
2004-03-28 - 2004-04-03,20,69
2004-04-04 - 2004-04-10,20,73
2004-04-11 - 2004-04-17,25,63
2004-04-18 - 2004-04-24,15,60
2004-04-25 - 2004-05-01,18,56
2004-05-02 - 2004-05-08,20,51
2004-05-09 - 2004-05-15,19,50
2004-05-16 - 2004-05-22,17,58
2004-05-23 - 2004-05-29,19,48
2004-05-30 - 2004-06-05,17,44
2004-06-06 - 2004-06-12,19,52
2004-06-13 - 2004-06-19,23,48
2004-06-20 - 2004-06-26,21,53
2004-06-27 - 2004-07-03,19,53
2004-07-04 - 2004-07-10,30,53
2004-07-11 - 2004-07-17,25,46
2004-07-18 - 2004-07-24,19,48
2004-07-25 - 2004-07-31,19,53
2004-08-01 - 2004-08-07,19,52
2004-08-08 - 2004-08-14,19,53
2004-08-15 - 2004-08-21,18,47
2004-08-22 - 2004-08-28,22,49
2004-08-29 - 2004-09-04,20,53
2004-09-05 - 2004-09-11,15,43
2004-09-12 - 2004-09-18,20,49
2004-09-19 - 2004-09-25,21,55
2004-09-26 - 2004-10-02,21,49
2004-10-03 - 2004-10-09,19,59
2004-10-10 - 2004-10-16,22,42
2004-10-17 - 2004-10-23,21,49
2004-10-24 - 2004-10-30,26,52
2004-10-31 - 2004-11-06,24,48
2004-11-07 - 2004-11-13,25,50
2004-11-14 - 2004-11-20,43,58
2004-11-21 - 2004-11-27,35,50
2004-11-28 - 2004-12-04,35,59
2004-12-05 - 2004-12-11,27,63
2004-12-12 - 2004-12-18,25,62
2004-12-19 - 2004-12-25,29,71
2004-12-26 - 2005-01-01,33,70
2005-01-02 - 2005-01-08,33,74
2005-01-09 - 2005-01-15,33,68
2005-01-16 - 2005-01-22,43,55
2005-01-23 - 2005-01-29,30,65
2005-01-30 - 2005-02-05,31,62
2005-02-06 - 2005-02-12,29,64
2005-02-13 - 2005-02-19,33,75
2005-02-20 - 2005-02-26,33,61
2005-02-27 - 2005-03-05,33,64
2005-03-06 - 2005-03-12,29,68
2005-03-13 - 2005-03-19,28,68
2005-03-20 - 2005-03-26,25,63
2005-03-27 - 2005-04-02,23,61
2005-04-03 - 2005-04-09,25,54
2005-04-10 - 2005-04-16,25,55
2005-04-17 - 2005-04-23,27,50
2005-04-24 - 2005-04-30,24,52
2005-05-01 - 2005-05-07,17,50
2005-05-08 - 2005-05-14,26,46
2005-05-15 - 2005-05-21,22,48
2005-05-22 - 2005-05-28,25,46
2005-05-29 - 2005-06-04,24,46
2005-06-05 - 2005-06-11,25,50
2005-06-12 - 2005-06-18,26,53
2005-06-19 - 2005-06-25,29,46
2005-06-26 - 2005-07-02,26,50
2005-07-03 - 2005-07-09,24,50
2005-07-10 - 2005-07-16,29,60
2005-07-17 - 2005-07-23,27,59
2005-07-24 - 2005-07-30,26,60
2005-07-31 - 2005-08-06,28,61
2005-08-07 - 2005-08-13,29,55
2005-08-14 - 2005-08-20,35,63
2005-08-21 - 2005-08-27,29,54
2005-08-28 - 2005-09-03,26,50
2005-09-04 - 2005-09-10,26,52
2005-09-11 - 2005-09-17,32,62
2005-09-18 - 2005-09-24,32,57
2005-09-25 - 2005-10-01,33,54
2005-10-02 - 2005-10-08,34,64
2005-10-09 - 2005-10-15,27,50
2005-10-16 - 2005-10-22,24,58
2005-10-23 - 2005-10-29,24,54
2005-10-30 - 2005-11-05,24,45
2005-11-06 - 2005-11-12,26,49
2005-11-13 - 2005-11-19,29,54
2005-11-20 - 2005-11-26,30,52
2005-11-27 - 2005-12-03,32,55
2005-12-04 - 2005-12-10,34,59
2005-12-11 - 2005-12-17,29,59
2005-12-18 - 2005-12-24,30,62
2005-12-25 - 2005-12-31,38,67
2006-01-01 - 2006-01-07,43,86
2006-01-08 - 2006-01-14,46,79
2006-01-15 - 2006-01-21,36,74
2006-01-22 - 2006-01-28,44,74
2006-01-29 - 2006-02-04,41,67
2006-02-05 - 2006-02-11,41,75
2006-02-12 - 2006-02-18,33,66
2006-02-19 - 2006-02-25,40,67
2006-02-26 - 2006-03-04,45,79
2006-03-05 - 2006-03-11,40,73
2006-03-12 - 2006-03-18,37,70
2006-03-19 - 2006-03-25,45,72
2006-03-26 - 2006-04-01,41,72
2006-04-02 - 2006-04-08,50,80
2006-04-09 - 2006-04-15,49,74
2006-04-16 - 2006-04-22,51,72
2006-04-23 - 2006-04-29,49,66
2006-04-30 - 2006-05-06,48,71
2006-05-07 - 2006-05-13,50,71
2006-05-14 - 2006-05-20,37,58
2006-05-21 - 2006-05-27,38,56
2006-05-28 - 2006-06-03,30,57
2006-06-04 - 2006-06-10,37,50
2006-06-11 - 2006-06-17,36,45
2006-06-18 - 2006-06-24,30,49
2006-06-25 - 2006-07-01,30,45
2006-07-02 - 2006-07-08,33,44
2006-07-09 - 2006-07-15,32,49
2006-07-16 - 2006-07-22,31,48
2006-07-23 - 2006-07-29,27,50
2006-07-30 - 2006-08-05,28,47
2006-08-06 - 2006-08-12,30,50
2006-08-13 - 2006-08-19,28,47
2006-08-20 - 2006-08-26,29,56
2006-08-27 - 2006-09-02,30,51
2006-09-03 - 2006-09-09,27,50
2006-09-10 - 2006-09-16,30,50
2006-09-17 - 2006-09-23,37,52
2006-09-24 - 2006-09-30,34,49
2006-10-01 - 2006-10-07,31,54
2006-10-08 - 2006-10-14,30,54
2006-10-15 - 2006-10-21,37,47
2006-10-22 - 2006-10-28,35,48
2006-10-29 - 2006-11-04,37,52
2006-11-05 - 2006-11-11,41,52
2006-11-12 - 2006-11-18,38,66
2006-11-19 - 2006-11-25,41,54
2006-11-26 - 2006-12-02,41,53
2006-12-03 - 2006-12-09,37,60
2006-12-10 - 2006-12-16,37,63
2006-12-17 - 2006-12-23,42,55
2006-12-24 - 2006-12-30,43,69
2006-12-31 - 2007-01-06,55,72
2007-01-07 - 2007-01-13,52,64
2007-01-14 - 2007-01-20,53,70
2007-01-21 - 2007-01-27,53,66
2007-01-28 - 2007-02-03,52,66
2007-02-04 - 2007-02-10,48,72
2007-02-11 - 2007-02-17,46,67
2007-02-18 - 2007-02-24,47,72
2007-02-25 - 2007-03-03,50,68
2007-03-04 - 2007-03-10,47,64
2007-03-11 - 2007-03-17,38,52
2007-03-18 - 2007-03-24,42,58
2007-03-25 - 2007-03-31,38,52
2007-04-01 - 2007-04-07,40,58
2007-04-08 - 2007-04-14,43,62
2007-04-15 - 2007-04-21,48,56
2007-04-22 - 2007-04-28,45,59
2007-04-29 - 2007-05-05,46,61
2007-05-06 - 2007-05-12,46,54
2007-05-13 - 2007-05-19,47,52
2007-05-20 - 2007-05-26,47,53
2007-05-27 - 2007-06-02,44,56
2007-06-03 - 2007-06-09,49,59
2007-06-10 - 2007-06-16,52,53
2007-06-17 - 2007-06-23,56,50
2007-06-24 - 2007-06-30,49,54
2007-07-01 - 2007-07-07,50,57
2007-07-08 - 2007-07-14,53,64
2007-07-15 - 2007-07-21,51,63
2007-07-22 - 2007-07-28,53,60
2007-07-29 - 2007-08-04,50,60
2007-08-05 - 2007-08-11,52,62
2007-08-12 - 2007-08-18,52,58
2007-08-19 - 2007-08-25,53,53
2007-08-26 - 2007-09-01,49,50
2007-09-02 - 2007-09-08,42,51
2007-09-09 - 2007-09-15,45,49
2007-09-16 - 2007-09-22,56,60
2007-09-23 - 2007-09-29,56,61
2007-09-30 - 2007-10-06,53,66
2007-10-07 - 2007-10-13,57,70
2007-10-14 - 2007-10-20,64,63
2007-10-21 - 2007-10-27,64,61
2007-10-28 - 2007-11-03,68,70
2007-11-04 - 2007-11-10,68,52
2007-11-11 - 2007-11-17,60,60
2007-11-18 - 2007-11-24,56,65
2007-11-25 - 2007-12-01,55,68
2007-12-02 - 2007-12-08,58,75
2007-12-09 - 2007-12-15,50,71
2007-12-16 - 2007-12-22,51,71
