Week,ETF,Mutual Fund
2004-1-4,19,90
2004-1-11,29,96
2004-1-18,21,100
2004-1-25,20,75
2004-2-1,24,78
2004-2-8,24,81
2004-2-15,24,82
2004-2-22,18,75
2004-2-29,26,72
2004-3-7,19,62
2004-3-14,24,70
2004-3-21,13,60
2004-3-28,20,69
2004-4-4,20,73
2004-4-11,25,63
2004-4-18,15,60
2004-4-25,18,56
2004-5-2,20,51
2004-5-9,19,50
2004-5-16,17,58
2004-5-23,19,48
2004-5-30,17,44
2004-6-6,19,52
2004-6-13,23,48
2004-6-20,21,53
2004-6-27,19,53
2004-7-4,30,53
2004-7-11,25,46
2004-7-18,19,48
2004-7-25,19,53
2004-8-1,19,52
2004-8-8,19,53
2004-8-15,18,47
2004-8-22,22,49
2004-8-29,20,53
2004-9-5,15,43
2004-9-12,20,49
2004-9-19,21,55
2004-9-26,21,49
2004-10-3,19,59
2004-10-10,22,42
2004-10-17,21,49
2004-10-24,26,52
2004-10-31,24,48
2004-11-7,25,50
2004-11-14,43,58
2004-11-21,35,50
2004-11-28,35,59
2004-12-5,27,63
2004-12-12,25,62
2004-12-19,29,71
2004-12-26,33,70
2005-1-2,33,74
2005-1-9,33,68
2005-1-16,43,55
2005-1-23,30,65
2005-1-30,31,62
2005-2-6,29,64
2005-2-13,33,75
2005-2-20,33,61
2005-2-27,33,64
2005-3-6,29,68
2005-3-13,28,68
2005-3-20,25,63
2005-3-27,23,61
2005-4-3,25,54
2005-4-10,25,55
2005-4-17,27,50
2005-4-24,24,52
2005-5-1,17,50
2005-5-8,26,46
2005-5-15,22,48
2005-5-22,25,46
2005-5-29,24,46
2005-6-5,25,50
2005-6-12,26,53
2005-6-19,29,46
2005-6-26,26,50
2005-7-3,24,50
2005-7-10,29,60
2005-7-17,27,59
2005-7-24,26,60
2005-7-31,28,61
2005-8-7,29,55
2005-8-14,35,63
2005-8-21,29,54
2005-8-28,26,50
2005-9-4,26,52
2005-9-11,32,62
2005-9-18,32,57
2005-9-25,33,54
2005-10-2,34,64
2005-10-9,27,50
2005-10-16,24,58
2005-10-23,24,54
2005-10-30,24,45
2005-11-6,26,49
2005-11-13,29,54
2005-11-20,30,52
2005-11-27,32,55
2005-12-4,34,59
2005-12-11,29,59
2005-12-18,30,62
2005-12-25,38,67
2006-1-1,43,86
2006-1-8,46,79
2006-1-15,36,74
2006-1-22,44,74
2006-1-29,41,67
2006-2-5,41,75
2006-2-12,33,66
2006-2-19,40,67
2006-2-26,45,79
2006-3-5,40,73
2006-3-12,37,70
2006-3-19,45,72
2006-3-26,41,72
2006-4-2,50,80
2006-4-9,49,74
2006-4-16,51,72
2006-4-23,49,66
2006-4-30,48,71
2006-5-7,50,71
2006-5-14,37,58
2006-5-21,38,56
2006-5-28,30,57
2006-6-4,37,50
2006-6-11,36,45
2006-6-18,30,49
2006-6-25,30,45
2006-7-2,33,44
2006-7-9,32,49
2006-7-16,31,48
2006-7-23,27,50
2006-7-30,28,47
2006-8-6,30,50
2006-8-13,28,47
2006-8-20,29,56
2006-8-27,30,51
2006-9-3,27,50
2006-9-10,30,50
2006-9-17,37,52
2006-9-24,34,49
2006-10-1,31,54
2006-10-8,30,54
2006-10-15,37,47
2006-10-22,35,48
2006-10-29,37,52
2006-11-5,41,52
2006-11-12,38,66
2006-11-19,41,54
2006-11-26,41,53
2006-12-3,37,60
2006-12-10,37,63
2006-12-17,42,55
2006-12-24,43,69
2006-12-31,55,72
2007-1-7,52,64
2007-1-14,53,70
2007-1-21,53,66
2007-1-28,52,66
2007-2-4,48,72
2007-2-11,46,67
2007-2-18,47,72
2007-2-25,50,68
2007-3-4,47,64
2007-3-11,38,52
2007-3-18,42,58
2007-3-25,38,52
2007-4-1,40,58
2007-4-8,43,62
