Date,Index_Level,iPath_Bbg_Softs_Subind_Tot_Return_ETN
2008-06-24,119.609,50.00
2008-06-25,120.206,50.25
2008-06-26,122.451,51.19
2008-06-27,121.275,50.69
2008-06-28,121.275,50.69
2008-06-29,121.275,50.69
2008-06-30,121.485,50.78
2008-07-01,123.198,51.49
2008-07-02,123.802,51.74
2008-07-03,122.472,51.19
2008-07-04,122.472,51.19
2008-07-05,122.472,51.19
2008-07-06,122.472,51.18
2008-07-07,117.65,49.17
2008-07-08,117.744,49.21
2008-07-09,118.394,49.48
2008-07-10,117.834,49.24
2008-07-11,119.347,49.87
2008-07-12,119.347,49.87
2008-07-13,119.347,49.87
2008-07-14,117.501,49.10
2008-07-15,118.789,49.64
2008-07-16,118.405,49.47
2008-07-17,113.533,47.44
2008-07-18,112.873,47.16
2008-07-19,112.873,47.16
2008-07-20,112.873,47.16
2008-07-21,112.528,47.01
2008-07-22,110.439,46.14
2008-07-23,110.894,46.33
2008-07-24,111.613,46.63
2008-07-25,113.163,47.27
2008-07-26,113.163,47.27
2008-07-27,113.163,47.27
2008-07-28,111.928,46.75
2008-07-29,114.219,47.71
2008-07-30,116.452,48.64
2008-07-31,118.843,49.64
2008-08-01,118.611,49.54
2008-08-02,118.611,49.54
2008-08-03,118.611,49.54
2008-08-04,114.081,47.65
2008-08-05,116.713,48.75
2008-08-06,117.198,48.95
2008-08-07,117.346,49.01
2008-08-08,114.314,47.74
2008-08-09,114.314,47.74
2008-08-10,114.314,47.74
2008-08-11,113.517,47.41
2008-08-12,115.158,48.09
2008-08-13,116.131,48.50
2008-08-14,113.73,47.49
2008-08-15,111.162,46.42
2008-08-16,111.162,46.42
2008-08-17,111.162,46.41
2008-08-18,113.481,47.38
2008-08-19,114.001,47.60
2008-08-20,114.739,47.91
2008-08-21,117.731,49.16
2008-08-22,117.798,49.18
2008-08-23,117.798,49.18
2008-08-24,117.798,49.18
2008-08-25,116.839,48.78
2008-08-26,118.579,49.51
2008-08-27,117.477,49.04
2008-08-28,115.631,48.27
2008-08-29,113.663,47.45
2008-08-30,113.663,47.45
2008-08-31,113.663,47.45
2008-09-01,113.663,47.45
2008-09-02,113.331,47.31
2008-09-03,112.157,46.81
2008-09-04,113.026,47.18
2008-09-05,110.39,46.07
2008-09-06,110.39,46.07
2008-09-07,110.39,46.07
2008-09-08,109.823,45.83
2008-09-09,107.643,44.92
2008-09-10,107.855,45.01
2008-09-11,106.362,44.38
2008-09-12,108.282,45.19
2008-09-13,108.282,45.18
2008-09-14,108.282,45.18
2008-09-15,106.694,44.52
2008-09-16,104.01,43.40
2008-09-17,104.956,43.79
2008-09-18,102.533,42.78
2008-09-19,104.536,43.61
2008-09-20,104.536,43.61
2008-09-21,104.536,43.61
2008-09-22,108.227,45.15
2008-09-23,105.894,44.18
2008-09-24,106.218,44.31
2008-09-25,108.308,45.18
2008-09-26,106.654,44.49
2008-09-27,106.654,44.49
2008-09-28,106.654,44.49
2008-09-29,102.509,42.76
2008-09-30,101.771,42.45
2008-10-01,102.739,42.85
2008-10-02,99.092,41.33
2008-10-03,96.267,40.14
2008-10-04,96.267,40.14
2008-10-05,96.267,40.14
2008-10-06,90.42,37.70
2008-10-07,90.763,37.84
2008-10-08,90.414,37.69
2008-10-09,90.003,37.52
2008-10-10,86.794,36.18
2008-10-11,86.794,36.18
2008-10-12,86.794,36.18
2008-10-13,89.234,37.20
2008-10-14,89.588,37.34
2008-10-15,85.303,35.55
2008-10-16,86,35.84
2008-10-17,89.286,37.21
2008-10-18,89.286,37.21
2008-10-19,89.286,37.21
2008-10-20,87.294,36.38
2008-10-21,87.031,36.27
2008-10-22,85.626,35.68
2008-10-23,84.034,35.02
2008-10-24,82.222,34.26
2008-10-25,82.222,34.26
2008-10-26,82.222,34.26
2008-10-27,82.997,34.58
2008-10-28,83.388,34.74
2008-10-29,87.714,36.55
2008-10-30,85.89,35.79
2008-10-31,86.633,36.10
2008-11-01,86.633,36.09
2008-11-02,86.633,36.09
2008-11-03,87.145,36.31
2008-11-04,90.672,37.78
2008-11-05,89.538,37.31
2008-11-06,85.095,35.45
2008-11-07,85.459,35.60
2008-11-08,85.459,35.60
2008-11-09,85.459,35.60
2008-11-10,85.262,35.52
2008-11-11,83.55,34.80
2008-11-12,82.764,34.47
2008-11-13,81.986,34.14
2008-11-14,83.097,34.61
2008-11-15,83.097,34.61
2008-11-16,83.097,34.61
2008-11-17,82.832,34.49
2008-11-18,82.488,34.35
2008-11-19,82.511,34.36
2008-11-20,80.568,33.55
2008-11-21,80.455,33.50
2008-11-22,80.455,33.50
2008-11-23,80.455,33.50
2008-11-24,83.884,34.93
2008-11-25,83.207,34.65
2008-11-26,85.446,35.58
2008-11-27,85.446,35.58
2008-11-28,86.225,35.90
2008-11-29,86.225,35.90
2008-11-30,86.225,35.90
2008-12-01,84.437,35.16
2008-12-02,83.64,34.82
2008-12-03,82.141,34.19
2008-12-04,78.503,32.67
2008-12-05,76.132,31.68
2008-12-06,76.132,31.68
2008-12-07,76.132,31.68
2008-12-08,81.067,33.74
2008-12-09,80.504,33.51
2008-12-10,82.353,34.28
2008-12-11,83.939,34.94
2008-12-12,82.601,34.38
2008-12-13,82.601,34.38
2008-12-14,82.601,34.38
2008-12-15,82.109,34.17
2008-12-16,82.712,34.42
2008-12-17,83.939,34.94
2008-12-18,84.03,34.97
2008-12-19,80.856,33.65
2008-12-20,80.856,33.65
2008-12-21,80.856,33.64
2008-12-22,80.144,33.35
2008-12-23,79.967,33.27
2008-12-24,80.79,33.61
2008-12-25,80.79,33.61
2008-12-26,80.682,33.57
2008-12-27,80.682,33.57
2008-12-28,80.682,33.57
2008-12-29,80.702,33.57
2008-12-30,82.156,34.18
2008-12-31,85.358,35.52
2009-01-01,85.358,35.52
2009-01-02,85.146,35.43
2009-01-03,85.146,35.43
2009-01-04,85.146,35.43
2009-01-05,83.993,34.95
2009-01-06,88.342,36.76
2009-01-07,86.679,36.07
2009-01-08,86.97,36.19
2009-01-09,87.467,36.39
2009-01-10,87.467,36.39
2009-01-11,87.467,36.39
2009-01-12,83.984,34.94
2009-01-13,84.028,34.95
2009-01-14,83.619,34.78
2009-01-15,86.025,35.79
2009-01-16,87.561,36.43
2009-01-17,87.561,36.43
2009-01-18,87.561,36.43
2009-01-19,87.561,36.43
2009-01-20,87.131,36.25
2009-01-21,88.086,36.64
2009-01-22,88.846,36.96
2009-01-23,90.565,37.68
2009-01-24,90.565,37.68
2009-01-25,90.565,37.68
2009-01-26,92.532,38.50
2009-01-27,92.077,38.31
2009-01-28,92.002,38.28
2009-01-29,90.511,37.65
2009-01-30,89.692,37.31
2009-01-31,89.692,37.31
2009-02-01,89.692,37.31
2009-02-02,90.281,37.55
2009-02-03,89.749,37.33
2009-02-04,88.786,36.93
2009-02-05,90.737,37.74
2009-02-06,91.274,37.96
2009-02-07,91.274,37.96
2009-02-08,91.274,37.96
2009-02-09,92.251,38.37
2009-02-10,89.505,37.22
2009-02-11,88.643,36.86
2009-02-12,87.399,36.34
2009-02-13,87.165,36.24
2009-02-14,87.165,36.24
2009-02-15,87.165,36.24
2009-02-16,87.165,36.24
2009-02-17,85.643,35.60
2009-02-18,84.756,35.23
2009-02-19,85.322,35.47
2009-02-20,84.308,35.04
2009-02-21,84.308,35.04
2009-02-22,84.308,35.04
2009-02-23,84.564,35.15
2009-02-24,84.905,35.29
2009-02-25,85.429,35.51
2009-02-26,87.068,36.19
2009-02-27,85.833,35.67
2009-02-28,85.833,35.67
2009-03-01,85.833,35.67
2009-03-02,80.809,33.57
2009-03-03,80.978,33.64
2009-03-04,83.152,34.55
2009-03-05,81.771,33.97
2009-03-06,81.264,33.76
2009-03-07,81.264,33.76
2009-03-08,81.264,33.76
2009-03-09,80.158,33.29
2009-03-10,80.615,33.49
2009-03-11,81.487,33.85
2009-03-12,83.626,34.74
2009-03-13,82.978,34.47
2009-03-14,82.978,34.47
2009-03-15,82.978,34.47
2009-03-16,83.528,34.70
2009-03-17,83.878,34.84
2009-03-18,84.192,34.97
2009-03-19,86.52,35.95
2009-03-20,86.898,36.10
2009-03-21,86.898,36.10
2009-03-22,86.898,36.10
2009-03-23,87.361,36.30
2009-03-24,85.764,35.63
2009-03-25,85.414,35.48
2009-03-26,85.116,35.36
2009-03-27,84.087,34.92
2009-03-28,84.087,34.92
2009-03-29,84.087,34.92
2009-03-30,83.456,34.66
2009-03-31,85.666,35.58
2009-04-01,85.334,35.44
2009-04-02,86.804,36.06
2009-04-03,86.602,35.97
2009-04-04,86.602,35.97
2009-04-05,86.602,35.97
2009-04-06,85.242,35.40
2009-04-07,85.292,35.42
2009-04-08,86.576,35.96
2009-04-09,87.582,36.38
2009-04-10,87.582,36.37
2009-04-11,87.582,36.37
2009-04-12,87.582,36.37
2009-04-13,87.818,36.47
2009-04-14,87.151,36.19
2009-04-15,87.426,36.31
2009-04-16,86.747,36.02
2009-04-17,87.413,36.30
2009-04-18,87.413,36.30
2009-04-19,87.413,36.30
2009-04-20,85.744,35.60
2009-04-21,87.274,36.24
2009-04-22,88.232,36.64
2009-04-23,89.272,37.07
2009-04-24,91.139,37.85
2009-04-25,91.139,37.85
2009-04-26,91.139,37.85
2009-04-27,89.521,37.17
2009-04-28,89.974,37.36
2009-04-29,90.411,37.54
2009-04-30,91.422,37.96
2009-05-01,95.645,39.73
2009-05-02,95.645,39.73
2009-05-03,95.645,39.73
2009-05-04,95.698,39.75
2009-05-05,97.401,40.46
2009-05-06,98.051,40.73
2009-05-07,98.625,40.97
2009-05-08,99.069,41.15
2009-05-09,99.069,41.15
2009-05-10,99.069,41.15
2009-05-11,100.713,41.84
2009-05-12,100.968,41.95
2009-05-13,99.144,41.18
2009-05-14,99.552,41.35
2009-05-15,96.925,40.25
2009-05-16,96.925,40.25
2009-05-17,96.925,40.25
2009-05-18,99.579,41.36
2009-05-19,99.778,41.44
2009-05-20,99.84,41.47
2009-05-21,100.928,41.92
2009-05-22,101.072,41.98
2009-05-23,101.072,41.98
2009-05-24,101.072,41.98
2009-05-25,101.072,41.98
2009-05-26,101.115,41.99
2009-05-27,100.679,41.81
2009-05-28,100.073,41.56
2009-05-29,101.338,42.09
2009-05-30,101.338,42.08
2009-05-31,101.338,42.08
2009-06-01,103.666,43.06
2009-06-02,102.965,42.76
2009-06-03,99.335,41.24
2009-06-04,100.916,41.90
2009-06-05,99.431,41.28
2009-06-06,99.431,41.28
2009-06-07,99.431,41.28
2009-06-08,98.312,40.81
2009-06-09,98.621,40.94
2009-06-10,97.889,40.63
2009-06-11,99.107,41.14
2009-06-12,98.224,40.77
2009-06-13,98.224,40.77
2009-06-14,98.224,40.77
2009-06-15,93.87,38.95
2009-06-16,93.661,38.86
2009-06-17,93.087,38.62
2009-06-18,93.993,39.00
2009-06-19,92.557,38.40
2009-06-20,92.557,38.40
2009-06-21,92.557,38.40
2009-06-22,92.762,38.48
2009-06-23,94.319,39.13
2009-06-24,95.14,39.47
2009-06-25,97.064,40.28
2009-06-26,95.591,39.66
2009-06-27,95.591,39.66
2009-06-28,95.591,39.66
2009-06-29,97.316,40.38
2009-06-30,97.333,40.38
2009-07-01,98.19,40.74
2009-07-02,97.667,40.52
2009-07-03,97.667,40.52
2009-07-04,97.667,40.52
2009-07-05,97.667,40.52
