Date,Index_Level,iPath_US_Treasury_10-year_Bull_ETN
2010-08-09,920.2591,50.00
2010-08-10,926.7964,50.65
2010-08-11,935.5126,51.52
2010-08-12,931.8082,51.15
2010-08-13,935.0768,51.48
2010-08-14,935.0768,51.48
2010-08-15,935.0768,51.48
2010-08-16,943.7931,52.35
2010-08-17,936.3843,51.61
2010-08-18,935.5126,51.52
2010-08-19,940.3066,52.00
2010-08-20,934.4231,51.41
2010-08-21,934.4231,51.41
2010-08-22,934.4231,51.41
2010-08-23,936.1664,51.58
2010-08-24,946.6259,52.62
2010-08-25,939.8708,51.95
2010-08-26,944.011,52.36
2010-08-27,929.4839,50.90
2010-08-28,929.4839,50.90
2010-08-29,929.4839,50.90
2010-08-30,942.413,52.18
2010-08-31,947.1658,52.66
2010-09-01,935.716,51.51
2010-09-02,932.2594,51.16
2010-09-03,924.9143,50.43
2010-09-04,924.9143,50.43
2010-09-05,924.9143,50.43
2010-09-06,924.9143,50.43
2010-09-07,936.3641,51.57
2010-09-08,930.7472,51.01
2010-09-09,919.5134,49.88
2010-09-10,916.2729,49.56
2010-09-11,916.2729,49.56
2010-09-12,916.2729,49.56
2010-09-13,923.4021,50.27
2010-09-14,930.7472,51.00
2010-09-15,927.2907,50.66
2010-09-16,923.4021,50.27
2010-09-17,926.6426,50.59
2010-09-18,926.6426,50.59
2010-09-19,926.6426,50.59
2010-09-20,930.3151,50.95
2010-09-21,943.7092,52.29
2010-09-22,946.3016,52.55
2010-09-23,946.5177,52.57
2010-09-24,941.5489,52.07
2010-09-25,941.5489,52.07
2010-09-26,941.5489,52.07
2010-09-27,951.7025,53.09
2010-09-28,958.3995,53.76
2010-09-29,954.5109,53.37
2010-09-30,953.0274,53.22
2010-10-01,953.4513,53.26
2010-10-02,953.4513,53.26
2010-10-03,953.4513,53.26
2010-10-04,958.7496,53.79
2010-10-05,961.0809,54.02
2010-10-06,967.227,54.63
2010-10-07,967.8628,54.69
2010-10-08,970.1941,54.93
2010-10-09,970.1941,54.92
2010-10-10,970.1941,54.92
2010-10-11,970.1941,54.92
2010-10-12,967.0151,54.60
2010-10-13,968.9225,54.79
2010-10-14,961.5048,54.05
2010-10-15,955.5706,53.46
2010-10-16,955.5706,53.46
2010-10-17,955.5706,53.46
2010-10-18,964.4718,54.34
2010-10-19,966.3793,54.53
2010-10-20,966.5912,54.55
2010-10-21,961.0809,54.00
2010-10-22,958.1138,53.71
2010-10-23,958.1138,53.70
2010-10-24,958.1138,53.70
2010-10-25,958.1138,53.70
2010-10-26,948.5768,52.75
2010-10-27,941.7949,52.07
2010-10-28,950.4842,52.94
2010-10-29,956.2657,53.51
2010-10-30,956.2657,53.51
2010-10-31,956.2657,53.51
2010-11-01,956.694,53.55
2010-11-02,959.6918,53.85
