Date,Index_Level,iPath_Pure_Beta_Livestock_ETN
2011-04-20,249.0743,50.00
2011-04-21,247.8038,49.74
2011-04-22,247.8038,49.74
2011-04-23,247.8038,49.74
2011-04-24,247.8038,49.74
2011-04-25,244.8641,49.15
2011-04-26,243.053,48.78
2011-04-27,245.0199,49.18
2011-04-28,244.1482,49.00
2011-04-29,244.1851,49.01
2011-04-30,244.1851,49.01
2011-05-01,244.1851,49.01
2011-05-02,243.2972,48.83
2011-05-03,238.7911,47.92
2011-05-04,239.2972,48.02
2011-05-05,238.119,47.78
2011-05-06,238.1881,47.80
2011-05-07,238.1881,47.80
2011-05-08,238.1881,47.79
2011-05-09,238.6014,47.88
2011-05-10,238.8086,47.92
2011-05-11,237.0168,47.56
2011-05-12,238.1678,47.79
2011-05-13,237.3964,47.63
2011-05-14,237.3964,47.63
2011-05-15,237.3964,47.63
2011-05-16,235.0141,47.15
2011-05-17,235.339,47.21
2011-05-18,235.1628,47.18
2011-05-19,234.7846,47.10
2011-05-20,234.345,47.01
2011-05-21,234.345,47.01
2011-05-22,234.345,47.01
2011-05-23,228.1794,45.77
2011-05-24,226.0069,45.33
2011-05-25,228.3474,45.80
2011-05-26,227.617,45.65
2011-05-27,228.7129,45.87
2011-05-28,228.7129,45.87
2011-05-29,228.7129,45.87
2011-05-30,228.7129,45.87
2011-05-31,230.4999,46.23
2011-06-01,227.5322,45.63
2011-06-02,227.5758,45.64
2011-06-03,229.6195,46.05
2011-06-04,229.6195,46.05
2011-06-05,229.6195,46.05
2011-06-06,227.5058,45.62
2011-06-07,230.6103,46.24
2011-06-08,230.6297,46.24
2011-06-09,234.0253,46.92
2011-06-10,231.9936,46.52
2011-06-11,231.9936,46.51
2011-06-12,231.9936,46.51
2011-06-13,232.931,46.70
2011-06-14,233.5952,46.83
2011-06-15,232.9732,46.71
2011-06-16,236.7351,47.46
2011-06-17,238.7408,47.86
2011-06-18,238.7408,47.86
2011-06-19,238.7408,47.86
2011-06-20,242.375,48.59
2011-06-21,244.2766,48.97
2011-06-22,242.3858,48.59
2011-06-23,241.581,48.42
2011-06-24,243.8351,48.87
2011-06-25,243.8351,48.87
2011-06-26,243.8351,48.87
2011-06-27,239.9121,48.08
2011-06-28,241.7894,48.46
2011-06-29,242.3218,48.57
2011-06-30,238.7269,47.84
2011-07-01,242.7477,48.65
2011-07-02,242.7477,48.65
2011-07-03,242.7477,48.65
2011-07-04,242.7477,48.64
2011-07-05,244.1276,48.92
2011-07-06,243.4571,48.78
2011-07-07,247.775,49.65
2011-07-08,246.8312,49.46
2011-07-09,246.8312,49.46
2011-07-10,246.8312,49.46
2011-07-11,249.6878,50.03
2011-07-12,248.5211,49.79
2011-07-13,248.8869,49.86
2011-07-14,244.0205,48.89
2011-07-15,243.2078,48.72
2011-07-16,243.2078,48.72
2011-07-17,243.2078,48.72
2011-07-18,240.5995,48.20
2011-07-19,242.1877,48.52
2011-07-20,240.6502,48.21
2011-07-21,240.0832,48.09
2011-07-22,242.1503,48.50
2011-07-23,242.1503,48.50
2011-07-24,242.1503,48.50
2011-07-25,241.3819,48.35
2011-07-26,241.9621,48.46
2011-07-27,240.9857,48.27
2011-07-28,241.8747,48.44
2011-07-29,242.2721,48.52
2011-07-30,242.2721,48.52
2011-07-31,242.2721,48.52
2011-08-01,244.126,48.89
2011-08-02,244.0323,48.87
2011-08-03,244.6696,49.00
2011-08-04,243.5298,48.77
2011-08-05,244.1356,48.89
2011-08-06,244.1356,48.89
2011-08-07,244.1356,48.88
2011-08-08,241.4733,48.35
2011-08-09,240.7448,48.20
2011-08-10,237.8955,47.63
2011-08-11,241.7045,48.39
2011-08-12,242.6485,48.58
2011-08-13,242.6485,48.58
2011-08-14,242.6485,48.58
2011-08-15,240.2757,48.10
2011-08-16,240.426,48.13
2011-08-17,237.2517,47.49
2011-08-18,233.8123,46.81
2011-08-19,235.4816,47.14
2011-08-20,235.4816,47.14
2011-08-21,235.4816,47.14
2011-08-22,236.0925,47.26
2011-08-23,236.2076,47.28
2011-08-24,234.0641,46.85
2011-08-25,235.2497,47.09
2011-08-26,236.9711,47.43
2011-08-27,236.9711,47.43
2011-08-28,236.9711,47.43
2011-08-29,236.5534,47.34
2011-08-30,235.9054,47.21
2011-08-31,235.4876,47.13
2011-09-01,234.2325,46.87
2011-09-02,236.0646,47.24
2011-09-03,236.0646,47.24
2011-09-04,236.0646,47.24
2011-09-05,236.0646,47.24
2011-09-06,236.4884,47.32
2011-09-07,238.7242,47.77
2011-09-08,240.3001,48.08
2011-09-09,240.5362,48.13
2011-09-10,240.5362,48.13
2011-09-11,240.5362,48.12
2011-09-12,241.2076,48.26
2011-09-13,241.0066,48.22
2011-09-14,241.9957,48.41
2011-09-15,240.2622,48.07
2011-09-16,239.6469,47.94
2011-09-17,239.6469,47.94
2011-09-18,239.6469,47.94
2011-09-19,238.9584,47.80
2011-09-20,239.9273,47.99
2011-09-21,240.0158,48.01
2011-09-22,234.1429,46.83
2011-09-23,235.4948,47.10
2011-09-24,235.4948,47.10
2011-09-25,235.4948,47.10
2011-09-26,239.1496,47.83
2011-09-27,240.4653,48.09
2011-09-28,239.2807,47.85
2011-09-29,240.7706,48.15
2011-09-30,242.6318,48.52
2011-10-01,242.6318,48.52
2011-10-02,242.6318,48.52
2011-10-03,242.7541,48.54
2011-10-04,239.7697,47.95
2011-10-05,241.9915,48.39
2011-10-06,242.8457,48.56
2011-10-07,243.516,48.69
2011-10-08,243.516,48.69
2011-10-09,243.516,48.69
2011-10-10,242.8995,48.56
