Date,Index_Level,iPath_US_Treasury_10-year_Bear_ETN
2010-08-09,920.2591,50.00
2010-08-10,926.7964,49.35
2010-08-11,935.5126,48.47
2010-08-12,931.8082,48.84
2010-08-13,935.0768,48.51
2010-08-14,935.0768,48.51
2010-08-15,935.0768,48.51
2010-08-16,943.7931,47.64
2010-08-17,936.3843,48.38
2010-08-18,935.5126,48.47
2010-08-19,940.3066,47.99
2010-08-20,934.4231,48.57
2010-08-21,934.4231,48.57
2010-08-22,934.4231,48.57
2010-08-23,936.1664,48.40
2010-08-24,946.6259,47.35
2010-08-25,939.8708,48.03
2010-08-26,944.011,47.61
2010-08-27,929.4839,49.05
2010-08-28,929.4839,49.05
2010-08-29,929.4839,49.05
2010-08-30,942.413,47.75
2010-08-31,947.1658,47.28
2010-09-01,935.716,48.42
2010-09-02,932.2594,48.77
2010-09-03,924.9143,49.50
2010-09-04,924.9143,49.50
2010-09-05,924.9143,49.50
2010-09-06,924.9143,49.50
2010-09-07,936.3641,48.35
2010-09-08,930.7472,48.91
2010-09-09,919.5134,50.03
2010-09-10,916.2729,50.36
2010-09-11,916.2729,50.36
2010-09-12,916.2729,50.36
2010-09-13,923.4021,49.64
2010-09-14,930.7472,48.91
2010-09-15,927.2907,49.25
2010-09-16,923.4021,49.64
2010-09-17,926.6426,49.31
2010-09-18,926.6426,49.31
2010-09-19,926.6426,49.31
2010-09-20,930.3151,48.95
2010-09-21,943.7092,47.60
2010-09-22,946.3016,47.34
2010-09-23,946.5177,47.32
2010-09-24,941.5489,47.82
2010-09-25,941.5489,47.82
2010-09-26,941.5489,47.82
2010-09-27,951.7025,46.80
2010-09-28,958.3995,46.13
2010-09-29,954.5109,46.52
2010-09-30,953.0274,46.67
2010-10-01,953.4513,46.62
2010-10-02,953.4513,46.62
2010-10-03,953.4513,46.62
2010-10-04,958.7496,46.09
2010-10-05,961.0809,45.86
2010-10-06,967.227,45.24
2010-10-07,967.8628,45.18
2010-10-08,970.1941,44.94
2010-10-09,970.1941,44.94
2010-10-10,970.1941,44.94
2010-10-11,970.1941,44.94
2010-10-12,967.0151,45.26
2010-10-13,968.9225,45.07
2010-10-14,961.5048,45.81
