Date,Index_Level,iPath_Pure_Beta_Industrial_Metals_ETN
2011-04-20,481.7039,50.00
2011-04-21,486.6355,50.51
2011-04-22,486.6355,50.51
2011-04-23,486.6355,50.51
2011-04-24,486.6355,50.51
2011-04-25,485.3595,50.37
2011-04-26,480.4739,49.87
2011-04-27,474.3623,49.23
2011-04-28,476.4014,49.44
2011-04-29,475.2971,49.32
2011-04-30,475.2971,49.32
2011-05-01,475.2971,49.32
2011-05-02,475.5274,49.35
2011-05-03,479.1497,49.72
2011-05-04,467.5483,48.51
2011-05-05,449.9326,46.69
2011-05-06,448.5309,46.54
2011-05-07,448.5309,46.54
2011-05-08,448.5309,46.54
2011-05-09,450.3353,46.72
2011-05-10,454.194,47.12
2011-05-11,445.3856,46.21
2011-05-12,446.4768,46.32
2011-05-13,445.0415,46.17
2011-05-14,445.0415,46.17
2011-05-15,445.0415,46.17
2011-05-16,444.9443,46.16
2011-05-17,440.266,45.67
2011-05-18,452.3828,46.93
2011-05-19,443.695,46.02
2011-05-20,447.2651,46.39
2011-05-21,447.2651,46.39
2011-05-22,447.2651,46.39
2011-05-23,436.682,45.29
2011-05-24,441.5874,45.80
2011-05-25,450.4243,46.72
2011-05-26,450.2888,46.70
2011-05-27,458.9479,47.60
2011-05-28,458.9479,47.60
2011-05-29,458.9479,47.59
2011-05-30,458.9479,47.59
2011-05-31,462.5419,47.97
2011-06-01,458.4683,47.54
2011-06-02,450.2078,46.68
2011-06-03,456.4137,47.33
2011-06-04,456.4137,47.33
2011-06-05,456.4137,47.32
2011-06-06,458.647,47.55
2011-06-07,460.1477,47.71
2011-06-08,456.7959,47.36
2011-06-09,457.3216,47.41
2011-06-10,451.0471,46.76
2011-06-11,451.0471,46.76
2011-06-12,451.0471,46.76
2011-06-13,447.4598,46.39
2011-06-14,456.6234,47.34
2011-06-15,452.7848,46.94
2011-06-16,447.7554,46.41
2011-06-17,446.9354,46.33
2011-06-18,446.9354,46.33
2011-06-19,446.9354,46.33
2011-06-20,443.5598,45.98
2011-06-21,446.7015,46.30
2011-06-22,447.1069,46.34
2011-06-23,443.2428,45.94
2011-06-24,445.2485,46.15
2011-06-25,445.2485,46.15
2011-06-26,445.2485,46.14
2011-06-27,443.7709,45.99
2011-06-28,447.8978,46.42
2011-06-29,455.9691,47.25
2011-06-30,460.5752,47.73
2011-07-01,458.6987,47.53
2011-07-02,458.6987,47.53
2011-07-03,458.6987,47.53
2011-07-04,458.6987,47.53
2011-07-05,466.3619,48.32
2011-07-06,464.4249,48.12
2011-07-07,473.3131,49.04
2011-07-08,467.2806,48.41
2011-07-09,467.2806,48.41
2011-07-10,467.2806,48.41
2011-07-11,459.9445,47.65
2011-07-12,463.8713,48.06
2011-07-13,465.88,48.26
2011-07-14,464.9574,48.17
2011-07-15,465.862,48.26
2011-07-16,465.862,48.26
2011-07-17,465.862,48.26
2011-07-18,466.6983,48.34
2011-07-19,474.8762,49.19
2011-07-20,471.3107,48.82
2011-07-21,469.2218,48.60
2011-07-22,473.1884,49.01
2011-07-23,473.1884,49.01
2011-07-24,473.1884,49.01
2011-07-25,473.7641,49.07
2011-07-26,481.0654,49.82
2011-07-27,479.8065,49.69
2011-07-28,480.6385,49.77
2011-07-29,480.3645,49.74
2011-07-30,480.3645,49.74
2011-07-31,480.3645,49.74
2011-08-01,472.4851,48.93
2011-08-02,472.6777,48.94
2011-08-03,463.1321,47.95
2011-08-04,454.5435,47.06
2011-08-05,438.7867,45.43
2011-08-06,438.7867,45.43
2011-08-07,438.7867,45.43
2011-08-08,427.0475,44.21
2011-08-09,427.5579,44.27
2011-08-10,422.8119,43.77
2011-08-11,433.0825,44.84
2011-08-12,431.6054,44.68
2011-08-13,431.6054,44.68
2011-08-14,431.6054,44.68
2011-08-15,431.3172,44.65
2011-08-16,429.8533,44.50
2011-08-17,434.9932,45.03
2011-08-18,425.5009,44.04
2011-08-19,427.8665,44.29
2011-08-20,427.8665,44.29
2011-08-21,427.8665,44.28
2011-08-22,423.1396,43.79
2011-08-23,428.4415,44.34
2011-08-24,428.4374,44.34
2011-08-25,433.4917,44.86
2011-08-26,436.4903,45.17
2011-08-27,436.4903,45.17
2011-08-28,436.4903,45.17
2011-08-29,436.3842,45.16
2011-08-30,442.323,45.77
2011-08-31,448.5255,46.41
2011-09-01,443.1244,45.85
2011-09-02,439.0952,45.43
2011-09-03,439.0952,45.43
2011-09-04,439.0952,45.43
2011-09-05,439.0952,45.43
2011-09-06,430.8203,44.57
2011-09-07,438.5494,45.37
2011-09-08,440.6506,45.59
2011-09-09,427.6545,44.24
2011-09-10,427.6545,44.24
2011-09-11,427.6545,44.24
2011-09-12,427.1751,44.19
2011-09-13,426.6672,44.14
2011-09-14,421.9528,43.65
2011-09-15,426.1271,44.08
2011-09-16,424.8998,43.95
2011-09-17,424.8998,43.95
2011-09-18,424.8998,43.95
2011-09-19,412.4664,42.66
2011-09-20,409.8246,42.39
2011-09-21,408.5406,42.25
2011-09-22,384.2447,39.74
2011-09-23,371.5952,38.43
2011-09-24,371.5952,38.43
2011-09-25,371.5952,38.43
2011-09-26,368.711,38.13
2011-09-27,382.3456,39.54
2011-09-28,371.4917,38.42
2011-09-29,371.7491,38.44
2011-09-30,358.6285,37.08
2011-10-01,358.6285,37.08
2011-10-02,358.6285,37.08
2011-10-03,363.1184,37.55
2011-10-04,356.1325,36.82
2011-10-05,355.517,36.76
2011-10-06,369.5347,38.21
2011-10-07,373.4748,38.61
2011-10-08,373.4748,38.61
2011-10-09,373.4748,38.61
2011-10-10,380.0447,39.29
2011-10-11,372.1135,38.47
2011-10-12,379.6903,39.25
2011-10-13,370.9056,38.34
2011-10-14,378.3309,39.11
2011-10-15,378.3309,39.11
2011-10-16,378.3309,39.11
2011-10-17,376.1112,38.88
2011-10-18,374.4502,38.70
2011-10-19,365.8639,37.82
2011-10-20,345.8131,35.74
2011-10-21,360.3226,37.24
2011-10-22,360.3226,37.24
2011-10-23,360.3226,37.24
2011-10-24,380.8769,39.36
2011-10-25,377.8914,39.05
2011-10-26,380.423,39.31
2011-10-27,396.9477,41.02
2011-10-28,397.3403,41.06
2011-10-29,397.3403,41.06
2011-10-30,397.3403,41.06
2011-10-31,391.3872,40.44
2011-11-01,375.7132,38.82
2011-11-02,380.8306,39.35
2011-11-03,383.0093,39.57
2011-11-04,381.7727,39.45
2011-11-05,381.7727,39.44
2011-11-06,381.7727,39.44
2011-11-07,379.0274,39.16
2011-11-08,379.8604,39.24
2011-11-09,372.9342,38.53
2011-11-10,369.363,38.16
2011-11-11,375.2386,38.76
2011-11-12,375.2386,38.76
2011-11-13,375.2386,38.76
2011-11-14,378.0941,39.06
2011-11-15,373.3291,38.56
2011-11-16,377.9539,39.04
2011-11-17,368.7451,38.09
2011-11-18,369.6018,38.18
2011-11-19,369.6018,38.17
2011-11-20,369.6018,38.17
2011-11-21,361.0311,37.29
2011-11-22,362.0701,37.39
2011-11-23,355.8753,36.75
2011-11-24,355.8753,36.75
2011-11-25,353.6241,36.52
2011-11-26,353.6241,36.52
2011-11-27,353.6241,36.52
2011-11-28,362.9271,37.48
2011-11-29,361.1546,37.29
2011-11-30,380.3562,39.27
2011-12-01,378.5757,39.09
2011-12-02,381.7407,39.42
2011-12-03,381.7407,39.42
2011-12-04,381.7407,39.41
2011-12-05,383.8843,39.63
2011-12-06,380.4225,39.28
2011-12-07,376.9368,38.92
2011-12-08,372.9674,38.50
2011-12-09,376.4388,38.86
2011-12-10,376.4388,38.86
2011-12-11,376.4388,38.86
2011-12-12,366.871,37.87
2011-12-13,365.0507,37.68
2011-12-14,350.6833,36.20
2011-12-15,351.8804,36.32
2011-12-16,358.213,36.97
2011-12-17,358.213,36.97
2011-12-18,358.213,36.97
2011-12-19,353.1322,36.45
2011-12-20,360.318,37.19
2011-12-21,360.8243,37.24
2011-12-22,363.6524,37.53
2011-12-23,365.9686,37.77
2011-12-24,365.9686,37.77
2011-12-25,365.9686,37.77
2011-12-26,365.9686,37.77
2011-12-27,365.1718,37.68
2011-12-28,358.5993,37.00
2011-12-29,358.192,36.96
2011-12-30,364.9825,37.66
2011-12-31,364.9825,37.66
2012-01-01,364.9825,37.66
2012-01-02,364.9825,37.66
2012-01-03,373.8575,38.57
2012-01-04,366.7888,37.84
2012-01-05,364.2359,37.58
2012-01-06,367.4406,37.91
2012-01-07,367.4406,37.91
2012-01-08,367.4406,37.91
2012-01-09,368.5582,38.02
2012-01-10,379.1015,39.11
2012-01-11,380.4992,39.25
2012-01-12,387.0481,39.93
2012-01-13,385.6001,39.78
2012-01-14,385.6001,39.77
2012-01-15,385.6001,39.77
2012-01-16,385.6001,39.77
2012-01-17,395.72,40.82
2012-01-18,395.6582,40.81
2012-01-19,401.6995,41.43
2012-01-20,397.2669,40.97
2012-01-21,397.2669,40.97
2012-01-22,397.2669,40.97
2012-01-23,402.6044,41.52
2012-01-24,404.1338,41.68
2012-01-25,406.9375,41.96
2012-01-26,414.7399,42.77
2012-01-27,411.9148,42.48
2012-01-28,411.9148,42.48
2012-01-29,411.9148,42.47
2012-01-30,408.5862,42.13
2012-01-31,402.9572,41.55
2012-02-01,408.0553,42.07
2012-02-02,400.948,41.34
2012-02-03,411.3897,42.42
2012-02-04,411.3897,42.41
2012-02-05,411.3897,42.41
2012-02-06,408.3387,42.10
2012-02-07,409.7174,42.24
2012-02-08,411.6184,42.43
2012-02-09,418.6912,43.16
2012-02-10,406.628,41.92
2012-02-11,406.628,41.92
2012-02-12,406.628,41.92
2012-02-13,403.2319,41.56
2012-02-14,401.5822,41.39
2012-02-15,399.246,41.15
2012-02-16,394.8253,40.69
2012-02-17,390.2913,40.23
2012-02-18,390.2913,40.23
2012-02-19,390.2913,40.22
2012-02-20,390.2913,40.22
2012-02-21,404.4461,41.68
2012-02-22,405.9249,41.83
2012-02-23,403.7144,41.60
2012-02-24,410.7379,42.33
2012-02-25,410.7379,42.33
2012-02-26,410.7379,42.33
2012-02-27,411.5122,42.40
2012-02-28,412.9285,42.55
2012-02-29,409.5752,42.20
2012-03-01,414.3629,42.69
2012-03-02,411.9112,42.44
2012-03-03,411.9112,42.44
2012-03-04,411.9112,42.44
2012-03-05,406.4307,41.87
2012-03-06,395.8256,40.78
2012-03-07,395.3108,40.73
2012-03-08,396.6544,40.86
2012-03-09,403.7585,41.59
2012-03-10,403.7585,41.59
2012-03-11,403.7585,41.59
2012-03-12,402.0128,41.41
2012-03-13,407.3403,41.96
2012-03-14,402.6661,41.48
2012-03-15,406.458,41.87
2012-03-16,404.5483,41.67
2012-03-17,404.5483,41.67
2012-03-18,404.5483,41.67
2012-03-19,407.2148,41.94
2012-03-20,400.9804,41.30
2012-03-21,399.3054,41.12
2012-03-22,391.5589,40.33
2012-03-23,394.3615,40.61
2012-03-24,394.3615,40.61
2012-03-25,394.3615,40.61
2012-03-26,399.3467,41.12
2012-03-27,399.4858,41.14
2012-03-28,392.1569,40.38
2012-03-29,389.958,40.15
2012-03-30,392.6895,40.43
2012-03-31,392.6895,40.43
2012-04-01,392.6895,40.43
2012-04-02,398.8608,41.07
2012-04-03,398.5859,41.04
2012-04-04,388.1068,39.96
2012-04-05,390.327,40.19
2012-04-06,390.327,40.18
2012-04-07,390.327,40.18
2012-04-08,390.327,40.18
2012-04-09,389.0123,40.05
2012-04-10,378.5989,38.97
2012-04-11,380.3067,39.15
2012-04-12,386.9183,39.83
2012-04-13,377.7727,38.89
2012-04-14,377.7727,38.88
2012-04-15,377.7727,38.88
2012-04-16,376.5288,38.75
2012-04-17,379.0137,39.01
2012-04-18,377.6458,38.87
2012-04-19,378.4669,38.95
2012-04-20,383.4862,39.47
2012-04-21,383.4862,39.47
2012-04-22,383.4862,39.47
2012-04-23,377.2422,38.82
2012-04-24,381.2443,39.23
2012-04-25,382.4647,39.36
2012-04-26,387.8373,39.91
2012-04-27,391.4984,40.29
2012-04-28,391.4984,40.28
2012-04-29,391.4984,40.28
2012-04-30,391.6595,40.30
2012-05-01,392.5122,40.39
2012-05-02,386.5887,39.78
2012-05-03,383.2855,39.43
2012-05-04,381.4353,39.24
2012-05-05,381.4353,39.24
2012-05-06,381.4353,39.24
2012-05-07,382.3492,39.33
2012-05-08,377.9325,38.88
2012-05-09,375.6875,38.65
2012-05-10,377.4095,38.82
2012-05-11,374.6092,38.53
2012-05-12,374.6092,38.53
2012-05-13,374.6092,38.53
2012-05-14,367.7317,37.82
2012-05-15,366.1319,37.66
2012-05-16,363.2405,37.36
