Date,Index_Level,iPath_Pure_Beta_Crude_Oil_ETN
2011-04-20,709.5577,50.00
2011-04-21,714.9305,50.38
2011-04-22,714.9305,50.38
2011-04-23,714.9305,50.38
2011-04-24,714.9305,50.37
2011-04-25,714.6825,50.36
2011-04-26,714.747,50.36
2011-04-27,718.4769,50.62
2011-04-28,718.8574,50.65
2011-04-29,725.6839,51.13
2011-04-30,725.6839,51.12
2011-05-01,725.6839,51.12
2011-05-02,723.2232,50.95
2011-05-03,707.741,49.86
2011-05-04,696.2402,49.05
2011-05-05,637.3417,44.90
2011-05-06,621.9857,43.81
2011-05-07,621.9857,43.81
2011-05-08,621.9857,43.81
2011-05-09,655.546,46.17
2011-05-10,664.7101,46.82
2011-05-11,627.9929,44.23
2011-05-12,632.8595,44.57
2011-05-13,636.9678,44.86
2011-05-14,636.9678,44.86
2011-05-15,636.9678,44.86
2011-05-16,623.0657,43.88
2011-05-17,620.5383,43.70
2011-05-18,639.3085,45.02
2011-05-19,629.8926,44.36
2011-05-20,637.1609,44.87
2011-05-21,637.1609,44.87
2011-05-22,637.1609,44.87
2011-05-23,622.6902,43.85
2011-05-24,635.0148,44.71
2011-05-25,646.1386,45.49
2011-05-26,640.3254,45.08
2011-05-27,642.2855,45.22
2011-05-28,642.2855,45.22
2011-05-29,642.2855,45.22
2011-05-30,642.2855,45.22
2011-05-31,655.5612,46.15
2011-06-01,640.3945,45.08
2011-06-02,641.4067,45.15
2011-06-03,640.207,45.07
2011-06-04,640.207,45.07
2011-06-05,640.207,45.06
2011-06-06,632.6895,44.53
2011-06-07,633.4487,44.59
2011-06-08,643.1855,45.27
2011-06-09,650.2139,45.76
2011-06-10,634.6953,44.67
2011-06-11,634.6953,44.67
2011-06-12,634.6953,44.67
2011-06-13,621.7498,43.76
2011-06-14,633.6421,44.59
2011-06-15,604.7009,42.56
2011-06-16,604.9534,42.57
2011-06-17,592.874,41.72
2011-06-18,592.874,41.72
2011-06-19,592.874,41.72
2011-06-20,594.3236,41.82
2011-06-21,597.4701,42.04
2011-06-22,606.2163,42.66
2011-06-23,579.0992,40.75
2011-06-24,580.2952,40.83
2011-06-25,580.2952,40.83
2011-06-26,580.2952,40.83
2011-06-27,576.9622,40.59
2011-06-28,591.4968,41.61
2011-06-29,603.0113,42.42
2011-06-30,607.1643,42.71
2011-07-01,604.3963,42.52
2011-07-02,604.3963,42.52
2011-07-03,604.3963,42.52
2011-07-04,604.3963,42.52
2011-07-05,615.7863,43.32
2011-07-06,613.8992,43.18
2011-07-07,626.6092,44.07
2011-07-08,611.5091,43.01
2011-07-09,611.5091,43.01
2011-07-10,611.5091,43.01
2011-07-11,604.7799,42.54
2011-07-12,618.0359,43.47
2011-07-13,621.9753,43.74
2011-07-14,607.9608,42.76
2011-07-15,616.304,43.34
2011-07-16,616.304,43.34
2011-07-17,616.304,43.34
2011-07-18,607.776,42.74
2011-07-19,617.2398,43.40
2011-07-20,620.4776,43.63
2011-07-21,624.1513,43.89
2011-07-22,628.4476,44.19
2011-07-23,628.4476,44.19
2011-07-24,628.4476,44.19
2011-07-25,625.5847,43.98
2011-07-26,628.0761,44.16
2011-07-27,615.2516,43.26
2011-07-28,615.2526,43.25
2011-07-29,604.4204,42.49
2011-07-30,604.4204,42.49
2011-07-31,604.4204,42.49
2011-08-01,599.3803,42.14
2011-08-02,591.9732,41.61
2011-08-03,580.5192,40.81
2011-08-04,547.6474,38.50
2011-08-05,549.7038,38.64
2011-08-06,549.7038,38.64
2011-08-07,549.7038,38.64
2011-08-08,514.9808,36.20
2011-08-09,501.9498,35.28
2011-08-10,523.6265,36.80
2011-08-11,540.0377,37.95
2011-08-12,537.6855,37.79
2011-08-13,537.6855,37.79
2011-08-14,537.6855,37.79
2011-08-15,552.4238,38.82
2011-08-16,544.3751,38.25
2011-08-17,549.5767,38.62
2011-08-18,517.2565,36.35
2011-08-19,517.5047,36.36
2011-08-20,517.5047,36.36
2011-08-21,517.5047,36.36
2011-08-22,528.899,37.16
2011-08-23,535.6482,37.64
2011-08-24,534.7816,37.57
2011-08-25,535.2152,37.60
2011-08-26,535.2773,37.61
2011-08-27,535.2773,37.61
2011-08-28,535.2773,37.61
2011-08-29,546.1755,38.37
