year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,68,69,67,70,70,69,69,69,70,70,69,69
2001,69,70,69,70,71,71,70,68,68,68,67,66
2002,66,65,65,65,64,64,63,63,62,61,61,60
2003,60,60,59,58,59,58,57,57,57,56,57,56
2004,57,56,55,55,56,55,55,55,55,55,54,54
2005,55,54,53,54,55,55,55,54,54,54,53,53
2006,53,54,53,54,54,54,54,55,55,55,54,55
2007,55,55,54,55,56,56,56,56,56,56,55,55
2008,56,55,55,56,56,56,55,55,52,49,49,49
2009,50,49,49,50,50,51,51,52,53,54,55,55
2010,56,57,56,57,57,58,58,58,59,59,59,59
2011,59,60,60,61,61,62,62,62,63,63,63,63
2012,63,63,63,63,64,64,64,64,65,65,65,65
2013,65,65,65,65,66,66,66,66,67,67,67,67
2014,67,67,67,68,68,68,68,68,68,68,69,68
2015,69,69,69,69,69,70,69,70,70,,,
