year,month,total,year_or_less,year_or_less_percent,one_to_five,one_to_five_percent,five_to_ten,five_to_ten_percent,ten_to_twenty,ten_to_twenty_percent,twenty_plus,twenty_plus_percent,average_length_months
2015,September,12841.3607059,3096.8484546,24,5491.7831462,43,2598.3522559,20,288.8731742,2,1365.503675,11,69.8
2015,August,12834.1583412,3138.3115096,24,5490.3232281,43,2564.1937341,20,288.8487637,2,1352.4811057,11,69.6
2015,July,12801.0422247,3144.9303125,25,5408.9313431,42,2611.9334409,20,299.5512411,2,1335.6958871,10,69.4
2015,June,12698.7044545,3035.2179422,24,5433.3573596,43,2609.2101153,21,298.8726837,2,1322.0463537,10,69.6
2015,May,12598.8840656,3069.4947761,24,5370.5854292,43,2558.474336,20,298.5801187,2,1301.7494056,10,69.3
2015,April,12631.8176587,3029.3594248,24,5396.3690706,43,2623.6048201,21,297.785647,2,1284.6986962,10,69.1
2015,March,12630.1187107,3002.8858899,24,5457.6773797,43,2601.0679395,21,297.2435329,2,1271.2439687,10,68.8
2015,February,12478.6030166,2985.1263567,24,5396.9233182,43,2539.8375817,20,297.9116142,2,1258.8041458,10,69
2015,January,12391.9261974,2932.7114271,24,5327.1845941,43,2589.407459,21,308.1814657,2,1234.4412515,10,68.8
2015,December,12504.71,2952.59,24,5416.13,43,2569.81,21,344.15,3,1222.03,10,68
2015,November,12329.49,2945.45,24,5309.43,43,2520.74,20,344.56,3,1209.3,10,69
2015,October,12348.89,2928.43,24,5299.34,43,2573.86,21,354.06,3,1193.21,10,69
2014,September,12280.53,2934.86,24,5264.61,43,2553.47,21,354.34,3,1173.24,10,68.5
2014,August,12156.47,2982.51,25,5168.8,43,2490.52,20,354.38,3,1160.2,10,68.4
2014,July,12149.18,2933.87,24,5136.64,42,2580.54,21,354.06,3,1144.07,9,68.4
2014,June,12070.53,2916.57,24,5109.64,42,2560.15,21,353.46,3,1130.7,9,68
2014,May,11962.38,2974.37,25,5015.67,42,2509.22,21,352.89,3,1110.24,9,68
2014,April,12001.4,2970.05,25,5022.65,42,2563.3,21,351.81,3,1093.62,9,68
2014,March,12120.42,3146.76,26,5000.41,41,2541.81,21,351.18,3,1080.3,9,67
2014,February,11996.37,3099.3,26,4972.25,41,2507.3,21,350.58,3,1066.9,9,67
2014,January,11810.25,2942.7,25,4919.6,42,2555.44,22,350.6,3,1041.89,9,67
2013,December,11854.36,3039.8,26,4897.9,41,2536.7,21,351,3,1029.1,9,67
2013,November,11712.2,3056.19,26,4799.92,41,2488.43,21,351.37,3,1016.3,9,67
2013,October,11679.9,2969.8,25,4812.9,41,2545.8,22,351.17,3,1000.2,9,67
2013,September,11590.4,2939.4,25,4794.5,41,2525.6,22,351,3,980,8,67
2013,August,11520.7,3035.4,26,4704.2,41,2463.3,21,350.9,3,967,8,66
2013,July,11477.7,2949.8,26,4721.5,41,2482.6,22,373.2,3,950.8,8,66
2013,June,11330.9,2952.9,26,4633.4,41,2434.1,21,372.9,3,937.6,8,66.3
2013,May,11390.2,2979,26,4677.2,41,2443.3,21,373,3,917.6,8,65.8
